Locus,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
4247082.0,1383,Elytraria acaulis,90427-2,Acanthaceae,Elytraria,acaulis,,True,Elytraria crenata
5568627,1374,Ecbolium amplexicaule,48320-1,Acanthaceae,Ecbolium,amplexicaule,,False,Ecbolium amplexicaule
4247074.0,1402,Avicennia germinans,861125-1,Acanthaceae,Avicennia,germinans,,False,Avicennia germinans
5568601.0,1374,Crossandra infundibuliformis,47014-1,Acanthaceae,Crossandra,infundibuliformis,,False,Crossandra infundibuliformis
4247106.0,1389,Thunbergia usambarica,56450-1,Acanthaceae,Thunbergia,usambarica,,False,Thunbergia usambarica
4247085.0,1389,Hypoestes forskaolii,941349-1,Acanthaceae,Hypoestes,forskaolii,,False,Hypoestes forskaolii
5568539,1248,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata
4247105.0,1389,Thunbergia mysorensis,60447289-2,Acanthaceae,Thunbergia,mysorensis,,False,Thunbergia mysorensis
4247088.0,1389,Dianthera americana,78915-2,Acanthaceae,Dianthera,americana,,False,Justicia americana
4247071,1389,Avicennia alba,861116-1,Acanthaceae,Avicennia,alba,,False,Avicennia alba
5558067,1374,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
4247068.0,1389,Aphelandra sinclairiana,45615-1,Acanthaceae,Aphelandra,sinclairiana,,False,Aphelandra sinclairiana
5568752.0,1374,Pseuderanthemum tunicatum,53353-1,Acanthaceae,Pseuderanthemum,tunicatum,,False,Pseuderanthemum tunicatum
4247094.0,1389,Pogonospermum patulum,77254482-1,Acanthaceae,Pogonospermum,patulum,,False,Monechma spartioides
4247073.0,1389,Avicennia germinans,861125-1,Acanthaceae,Avicennia,germinans,,False,Avicennia germinans
4247086.0,1389,Isoglossa cooperi,50066-1,Acanthaceae,Isoglossa,cooperi,,False,Isoglossa cooperi
5568751.0,1374,Strobilanthes glutinosa,55706-1,Acanthaceae,Strobilanthes,glutinosa,,True,Strobilanthes glutinosus
4247076.0,1389,Avicennia marina subsp. australasica,976786-1,Acanthaceae,Avicennia,marina,australasica,False,Avicennia marina subsp. australasica
4247064.0,1389,Acanthus montanus,44894-1,Acanthaceae,Acanthus,montanus,,False,Acanthus montanus
4247079,1389,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis
4247095.0,1389,Nelsonia canescens,52558-1,Acanthaceae,Nelsonia,canescens,,False,Nelsonia campestris
5568550.0,1362,Asystasia travancorica,45806-1,Acanthaceae,Asystasia,travancorica,,False,Asystasia travancorica
5558068.0,1299,Nelsonia sp.,753-1,Acanthaceae,Nelsonia,,,False,Nelsonia sp. Harris 5722
4247089.0,1356,Justicia carnea,132826-2,Acanthaceae,Justicia,carnea,,True,Justicia carnea
4247072.0,1389,Avicennia bicolor,27225-2,Acanthaceae,Avicennia,bicolor,,False,Avicennia bicolor
4247099.0,1389,Ruellia brevifolia,947317-1,Acanthaceae,Ruellia,brevifolia,,False,Ruellia brevifolia
4247102.0,1389,Ruttya fruticosa,54838-1,Acanthaceae,Ruttya,fruticosa,,False,Ruttya fruticosa
4247093.0,1389,Lepidagathis villosa,974790-1,Acanthaceae,Lepidagathis,villosa,,False,Lepidagathis villosa
4247103.0,1329,Sanchezia oblonga,54890-1,Acanthaceae,Sanchezia,oblonga,,False,Sanchezia nobilis
4247104.0,1386,Thunbergia capensis,56219-1,Acanthaceae,Thunbergia,capensis,,False,Thunbergia capensis
4247091.0,1389,Justicia odora,51237-1,Acanthaceae,Justicia,odora,,False,Justicia odora
7191560.0,1209,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina
