Locus,gene,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
MT240944.1,rrn16,genomic DNA,1491,Acanthus ebracteatus,44857-1,Acanthaceae,Acanthus,ebracteatus,,False,Acanthus ebracteatus,241842
MW752129.1,rrn16,genomic DNA,1491,Acanthus ilicifolius,44873-1,Acanthaceae,Acanthus,ilicifolius,,True,Acanthus ilicifolius,328098
NC_054308.1,rrn16,genomic DNA,1491,Acanthus ilicifolius,44873-1,Acanthaceae,Acanthus,ilicifolius,,True,Acanthus ilicifolius,328098
NC_070388.1,rrn16,genomic DNA,1490,Acanthus leucostachyus,44881-1,Acanthaceae,Acanthus,leucostachyus,,False,Acanthus leucostachyus,1605257
OM022237.1,rrn16,genomic DNA,1490,Acanthus leucostachyus,44881-1,Acanthaceae,Acanthus,leucostachyus,,False,Acanthus leucostachyus,1605257
OM022238.1,16S ribosomal RNA,genomic DNA,1491,Acanthus mollis,44892-1,Acanthaceae,Acanthus,mollis,,False,Acanthus mollis,76277
NC_070389.1,16S ribosomal RNA,genomic DNA,1491,Acanthus mollis,44892-1,Acanthaceae,Acanthus,mollis,,False,Acanthus mollis,76277
NC_022451.2,rrn16,genomic DNA,1491,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata,175694
NC_041424.1,rrn16,genomic DNA,1491,Aphelandra knappiae,77139519-1,Acanthaceae,Aphelandra,knappiae,,False,Aphelandra knappiae,2315787
MT108381.1,rrn16,genomic DNA,1491,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
MT012822.1,16S ribosomal RNA,genomic DNA,1491,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
OK258321.1,16S ribosomal RNA,genomic DNA,1491,Avicennia marina var. rumphiana,77188535-1,Acanthaceae,Avicennia,marina,rumphiana,False,Avicennia marina var. rumphiana,1238153
NC_061403.1,16S ribosomal RNA,genomic DNA,1491,Avicennia marina var. rumphiana,77188535-1,Acanthaceae,Avicennia,marina,rumphiana,False,Avicennia marina var. rumphiana,1238153
NC_063736.1,rrn16,genomic DNA,1491,Avicennia officinalis,861138-1,Acanthaceae,Avicennia,officinalis,,False,Avicennia officinalis,1134458
MW160467.1,16S ribosomal RNA,genomic DNA,1491,Avicennia officinalis,861138-1,Acanthaceae,Avicennia,officinalis,,False,Avicennia officinalis,1134458
ON768801.1,16S ribosomal RNA,genomic DNA,1493,Barleria cristata,45927-1,Acanthaceae,Barleria,cristata,,True,Barleria cristata,489322
NC_070081.1,16S ribosomal RNA,genomic DNA,1493,Barleria cristata,45927-1,Acanthaceae,Barleria,cristata,,True,Barleria cristata,489322
ON768802.1,16S ribosomal RNA,genomic DNA,1493,Barleria lupulina,46059-1,Acanthaceae,Barleria,lupulina,,False,Barleria lupulina,101743
NC_070082.1,rrn16,genomic DNA,1493,Barleria lupulina,46059-1,Acanthaceae,Barleria,lupulina,,False,Barleria lupulina,101743
MK548575.1,rrn16,genomic DNA,1493,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis,4189
NC_048478.1,rrn16,genomic DNA,1493,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis,4189
ON768803.1,16S ribosomal RNA,genomic DNA,1493,Barleria repens,46178-1,Acanthaceae,Barleria,repens,,False,Barleria repens,76356
NC_070083.1,16S ribosomal RNA,genomic DNA,1493,Barleria repens,46178-1,Acanthaceae,Barleria,repens,,False,Barleria repens,76356
ON768804.1,16S ribosomal RNA,genomic DNA,1493,Barleria siamensis,46214-1,Acanthaceae,Barleria,siamensis,,False,Barleria siamensis,3014869
NC_070084.1,16S ribosomal RNA,genomic DNA,1493,Barleria siamensis,46214-1,Acanthaceae,Barleria,siamensis,,False,Barleria siamensis,3014869
NC_070085.1,rrn16,genomic DNA,1493,Barleria strigosa,46236-1,Acanthaceae,Barleria,strigosa,,False,Barleria strigosa,1749380
ON768805.1,16S ribosomal RNA,genomic DNA,1493,Barleria strigosa,46236-1,Acanthaceae,Barleria,strigosa,,False,Barleria strigosa,1749380
NC_046601.1,rrn16,genomic DNA,1493,Blepharis ciliaris,46492-1,Acanthaceae,Blepharis,ciliaris,,False,Blepharis ciliaris,1569713
MK548576.1,rrn16,genomic DNA,1493,Blepharis ciliaris,46492-1,Acanthaceae,Blepharis,ciliaris,,False,Blepharis ciliaris,1569713
OR555753.1,16S ribosomal RNA,genomic DNA,1491,Chroesthes longifolia,912230-1,Acanthaceae,Chroesthes,longifolia,,False,Chroesthes longifolia,3080981
NC_084174.1,16S ribosomal RNA,genomic DNA,1491,Chroesthes longifolia,912230-1,Acanthaceae,Chroesthes,longifolia,,False,Chroesthes longifolia,3080981
NC_042162.1,rrn16,genomic DNA,1491,Clinacanthus nutans,46937-1,Acanthaceae,Clinacanthus,nutans,,False,Clinacanthus nutans,714457
MK830556.1,rrn16,genomic DNA,1491,Dicliptera acuminata,47439-1,Acanthaceae,Dicliptera,acuminata,,False,Dicliptera acuminata,2565897
MW411448.1,16S ribosomal RNA,genomic DNA,1491,Dicliptera japonica,47568-1,Acanthaceae,Dicliptera,japonica,,False,Peristrophe japonica,1082503
NC_056198.1,16S ribosomal RNA,genomic DNA,1491,Dicliptera japonica,47568-1,Acanthaceae,Dicliptera,japonica,,False,Peristrophe japonica,1082503
MK833946.1,16S ribosomal RNA,genomic DNA,1491,Dicliptera montana,79737-2,Acanthaceae,Dicliptera,montana,,False,Dicliptera montana,2565899
MK848596.1,16S ribosomal RNA,genomic DNA,1491,Dicliptera mucronata,79740-2,Acanthaceae,Dicliptera,mucronata,,False,Dicliptera mucronata,2565901
MK833945.1,rrn16,genomic DNA,1491,Dicliptera peruviana,47637-1,Acanthaceae,Dicliptera,peruviana,,False,Dicliptera peruviana,2565898
OR063946.1,16S ribosomal RNA,genomic DNA,1491,Dicliptera tinctoria,47708-1,Acanthaceae,Dicliptera,tinctoria,,False,Dicliptera tinctoria,3056920
