Locus,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
1384087.0,552,Aphelandra scabra,941389-1,Acanthaceae,Aphelandra,scabra,,False,Aphelandra scabra
4163689,552,Pseuderanthemum hildebrandtii,53257-1,Acanthaceae,Pseuderanthemum,hildebrandtii,,False,Pseuderanthemum hildebrandtii
3721135,552,Nelsonia canescens,52558-1,Acanthaceae,Nelsonia,canescens,,False,Nelsonia canescens
8611928,570,Haplanthodes verticillata,49369-1,Acanthaceae,Haplanthodes,verticillata,,False,Haplanthodes verticillatus
6583569,553,Meiosperma debile,77254330-1,Acanthaceae,Meiosperma,debile,,False,Justicia debilis
4099494,552,Odontonema tubaeforme,172486-2,Acanthaceae,Odontonema,tubaeforme,,False,Odontonema tubaeforme
6259296,525,Ruellia prostrata,54453-1,Acanthaceae,Ruellia,prostrata,,True,Ruellia prostrata
7619768,531,Avicennia officinalis,861138-1,Acanthaceae,Avicennia,officinalis,,False,Avicennia officinalis
4696188,552,Ruellia caroliniensis,30014408-2,Acanthaceae,Ruellia,caroliniensis,,False,Ruellia carolinensis
4696253,552,Ruellia caroliniensis,30014408-2,Acanthaceae,Ruellia,caroliniensis,,False,Ruellia carolinensis
3404658,552,Ruttya ovata,54839-1,Acanthaceae,Ruttya,ovata,,False,Ruttya ovata
15052051,553,Anisacanthus quadrifidus,13942-2,Acanthaceae,Anisacanthus,quadrifidus,,False,Anisacanthus quadrifidus
7050938,552,Justicia californica,132816-2,Acanthaceae,Justicia,californica,,False,Justicia californica
6732957,552,Anisotes pubinervius,45341-1,Acanthaceae,Anisotes,pubinervius,,False,Metarungia pubinervia
5125773,552,Blepharis leendertziae,46545-1,Acanthaceae,Blepharis,leendertziae,,False,Blepharis leendertziae
3833570,552,Ruellia inundata,54193-1,Acanthaceae,Ruellia,inundata,,False,Ruellia inundata
3720909,552,Aphelandra aurantiaca,1053173-2,Acanthaceae,Aphelandra,aurantiaca,,False,Aphelandra aurantiaca
5347853,552,Hypoestes phyllostachya,49962-1,Acanthaceae,Hypoestes,phyllostachya,,False,Hypoestes phyllostachya
3404813,552,Mackaya bella,52245-1,Acanthaceae,Mackaya,bella,,False,Mackaya bella
8301184,572,Dicliptera paniculata,77079550-1,Acanthaceae,Dicliptera,paniculata,,False,Peristrophe paniculata
3714978,552,Justicia aurea,320654-2,Acanthaceae,Justicia,aurea,,True,Justicia aurea
15788841,527,Echinacanthus lofuensis,978948-1,Acanthaceae,Echinacanthus,lofuensis,,False,Echinacanthus lofouensis
3714959,552,Avicennia bicolor,27225-2,Acanthaceae,Avicennia,bicolor,,False,Avicennia bicolor
3655378,552,Elytraria acaulis,90427-2,Acanthaceae,Elytraria,acaulis,,False,Elytraria lyrata
4122692,552,Justicia valerii,133156-2,Acanthaceae,Justicia,valerii,,False,Justicia valerii
4122705,552,Avicennia bicolor,27225-2,Acanthaceae,Avicennia,bicolor,,False,Avicennia bicolor
7414460,567,Nelsonia canescens,52558-1,Acanthaceae,Nelsonia,canescens,,False,Nelsonia canescens
3242893,552,Aphelandra scabra,941389-1,Acanthaceae,Aphelandra,scabra,,False,Aphelandra scabra
4122691,552,Justicia valerii,133156-2,Acanthaceae,Justicia,valerii,,False,Justicia valerii
5382362,552,Justicia maxima,51115-1,Acanthaceae,Justicia,maxima,,False,Justicia baronii
3242763,552,Justicia aurea,320654-2,Acanthaceae,Justicia,aurea,,True,Justicia aurea
15788778,566,Pseuderanthemum latifolium,947004-1,Acanthaceae,Pseuderanthemum,latifolium,,False,Pseuderanthemum latifolium
6258905,553,Thunbergia tsavoensis,77092208-1,Acanthaceae,Thunbergia,tsavoensis,,False,Thunbergia tsavoensis
3639836,552,Barleria meyeriana,46080-1,Acanthaceae,Barleria,meyeriana,,False,Barleria meyeriana
3242767,552,Justicia arborescens,302584-2,Acanthaceae,Justicia,arborescens,,False,Justicia arborecens
3242885,552,Justicia carthaginensis,50468-1,Acanthaceae,Justicia,carthaginensis,,True,Justicia carthaginensis
3833560,552,Aphelandra sp.,30000831-2,Acanthaceae,Aphelandra,,,False,Aphelandra sp.
15079509,553,Acanthus montanus,44894-1,Acanthaceae,Acanthus,montanus,,False,Acanthus montanus
4428670.0,527,Acanthopsis carduifolia,44830-1,Acanthaceae,Acanthopsis,carduifolia,,False,Acanthopsis carduifolia
3833574,552,Ruellia inundata,54193-1,Acanthaceae,Ruellia,inundata,,False,Ruellia inundata
15079499,553,Thunbergia erecta,56259-1,Acanthaceae,Thunbergia,erecta,,True,Thunbergia erecta
6183111,564,Rungia pectinata,54799-1,Acanthaceae,Rungia,pectinata,,False,Rungia pectinata
17776525,542,Dicliptera sp.,331554-2,Acanthaceae,Dicliptera,,,False,Dicliptera sp.
6798910,534,Justicia santapaui,51550-1,Acanthaceae,Justicia,santapaui,,False,Justicia santapaui
3722312,551,Ruellia terminalis var. terminalis,77224858-1,Acanthaceae,Ruellia,terminalis,terminalis,False,Ruellia metallica
6259319,525,Ruellia prostrata,54453-1,Acanthaceae,Ruellia,prostrata,,True,Ruellia prostrata
15079764,553,Avicennia germinans,861125-1,Acanthaceae,Avicennia,germinans,,False,Avicennia germinans
17776524,539,Dicliptera tomentosa,47709-1,Acanthaceae,Dicliptera,tomentosa,,False,Dicliptera ruiziana
5586698.0,552,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata
3833562,552,Elytraria imbricata,1167021-2,Acanthaceae,Elytraria,imbricata,,False,Elytraria imbricata
4428742,552,Asystasia gangetica,45742-1,Acanthaceae,Asystasia,gangetica,,False,Asystasia gangetica
15052220,553,Dyschoriste linearis,48146-1,Acanthaceae,Dyschoriste,linearis,,False,Dyschoriste linearis
6671543,527,Justicia odora,51237-1,Acanthaceae,Justicia,odora,,False,Justicia odora
3720910,552,Aphelandra aurantiaca,1053173-2,Acanthaceae,Aphelandra,aurantiaca,,False,Aphelandra aurantiaca
5382366,552,Mendoncia combretoides,52302-1,Acanthaceae,Mendoncia,combretoides,,False,Mendoncia combretoides
16719142,571,Pseuderanthemum polyanthum,53315-1,Acanthaceae,Pseuderanthemum,polyanthum,,False,Pseuderanthemum polyanthum
6258965,535,Crossandra massaica,47022-1,Acanthaceae,Crossandra,massaica,,False,Crossandra massaica
3655671,552,Rostellularia prostrata,53736-1,Acanthaceae,Rostellularia,prostrata,,True,Justicia prostrata
5382372.0,552,Sclerochiton vogelii,55005-1,Acanthaceae,Sclerochiton,vogelii,,False,Sclerochiton vogelii
3404812.0,552,Ruttya fruticosa,54838-1,Acanthaceae,Ruttya,fruticosa,,False,Ruttya fruticosa
16769066,526,Dicliptera tomentosa,47709-1,Acanthaceae,Dicliptera,tomentosa,,False,Dicliptera ruiziana
5382364,552,Justicia guineensis,77115495-1,Acanthaceae,Justicia,guineensis,,False,Justicia guineensis
3722310,552,Ruellia terminalis var. terminalis,77224858-1,Acanthaceae,Ruellia,terminalis,terminalis,False,Ruellia metallica
5125733,552,Crabbea cirsioides,46969-1,Acanthaceae,Crabbea,cirsioides,,False,Crabbea hirsuta
6259310,525,Blepharis maderaspatensis,46553-1,Acanthaceae,Blepharis,maderaspatensis,,False,Blepharis maderaspatensis
3921059,552,Acanthopsis sp.,342-1,Acanthaceae,Acanthopsis,,,False,Acanthopsis sp. 1
5382365,552,Lankesteria hispida,51918-1,Acanthaceae,Lankesteria,hispida,,False,Lankesteria hispida
5347851,552,Ruellia longepetiolata,54242-1,Acanthaceae,Ruellia,longepetiolata,,False,Ruellia squarrosa
7080844,534,Rostellularia procumbens,53735-1,Acanthaceae,Rostellularia,procumbens,,False,Justicia japonica
7181819,531,Justicia gendarussa,50766-1,Acanthaceae,Justicia,gendarussa,,True,Justicia gendarussa
3769484,552,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina
3655649,552,Justicia protracta,51394-1,Acanthaceae,Justicia,protracta,,False,Justicia cf. protracta
3242887,552,Justicia carthaginensis,50468-1,Acanthaceae,Justicia,carthaginensis,,True,Justicia carthaginensis
6583541,552,Justicia calyculata,50432-1,Acanthaceae,Justicia,calyculata,,False,Justicia calyculata
9597392.0,554,Justicia striata,51668-1,Acanthaceae,Justicia,striata,,False,Justicia striata
4163611.0,552,Ruspolia hypocrateriformis,54830-1,Acanthaceae,Ruspolia,hypocrateriformis,,False,Ruspolia hypocrateriformis
6075176.0,552,Dianthera americana,78915-2,Acanthaceae,Dianthera,americana,,False,Justicia americana
4121688.0,552,Blepharis integrifolia,46538-1,Acanthaceae,Blepharis,integrifolia,,False,Blepharis integrifolia
5382367.0,552,Mendoncia gilgiana,52312-1,Acanthaceae,Mendoncia,gilgiana,,False,Mendoncia gilgiana
6671539.0,525,Barleria gracilispina,77109564-1,Acanthaceae,Barleria,gracilispina,,False,Barleria gracilispina
7338850.0,553,Rostellularia prostrata,53736-1,Acanthaceae,Rostellularia,prostrata,,True,Justicia prostrata
5125762.0,552,Barleria galpinii,45970-1,Acanthaceae,Barleria,galpinii,,False,Barleria galpinii
6632284.0,567,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina
3242811.0,539,Justicia arborescens,302584-2,Acanthaceae,Justicia,arborescens,,False,Justicia arborecens
7554863.0,572,Ruellia tuberosa,54671-1,Acanthaceae,Ruellia,tuberosa,,False,Ruellia tuberosa
3655538.0,552,Barleria spinulosa,46226-1,Acanthaceae,Barleria,spinulosa,,False,Barleria spinulosa
4121687.0,552,Crossandra mucronata,47023-1,Acanthaceae,Crossandra,mucronata,,False,Crossandra mucronata
13140624.0,553,Asystasia gangetica,45742-1,Acanthaceae,Asystasia,gangetica,,False,Asystasia gangetica
13140620.0,553,Justicia anselliana,50294-1,Acanthaceae,Justicia,anselliana,,False,Justicia anselliana
3237868,552,Barleria rotundifolia,46188-1,Acanthaceae,Barleria,rotundifolia,,False,Barleria rotundifolia
3798646,552,Nicoteba betonica,52612-1,Acanthaceae,Nicoteba,betonica,,False,Justicia betonica
4120909.0,552,Ruellia geminiflora,54085-1,Acanthaceae,Ruellia,geminiflora,,False,Ruellia geminiflora
17776536,546,Ruellia sp.,326011-2,Acanthaceae,Ruellia,,,False,Ruellia sp.
4120910,552,Ruellia geminiflora,54085-1,Acanthaceae,Ruellia,geminiflora,,False,Ruellia geminiflora
4247100,546,Ruellia simplex,54585-1,Acanthaceae,Ruellia,simplex,,False,Ruellia tweediana
4066214,575,Poikilacanthus bahiensis,970727-1,Acanthaceae,Poikilacanthus,bahiensis,,False,Poikilacanthus bahiensis
6188908,552,Barleria submollis,46240-1,Acanthaceae,Barleria,submollis,,False,Barleria submollis
3279545,552,Barleria oenotheroides,46114-1,Acanthaceae,Barleria,oenotheroides,,False,Barleria oenotheroides
3910667,552,Barleria spinulosa subsp. kirkii,77147139-1,Acanthaceae,Barleria,spinulosa,kirkii,False,Barleria kirkii
3833581,552,Justicia sp.,326849-2,Acanthaceae,Justicia,,,False,Justicia sp.
6671538,539,Barleria gracilispina,77109564-1,Acanthaceae,Barleria,gracilispina,,False,Barleria gracilispina
13108743,553,Rhinacanthus zambesiacus,77122563-1,Acanthaceae,Rhinacanthus,zambesiacus,,False,Rhinacanthus zambesiacus
15788671.0,541,Justicia latiflora,50982-1,Acanthaceae,Justicia,latiflora,,False,Justicia latiflora
5125722,552,Justicia ladanoides,50951-1,Acanthaceae,Justicia,ladanoides,,False,Asystasia schimperi
15789145,566,Pseuderanthemum crenulatum,53227-1,Acanthaceae,Pseuderanthemum,crenulatum,,False,Pseuderanthemum crenulatum
15079451,553,Eranthemum pulchellum,48879-1,Acanthaceae,Eranthemum,pulchellum,,True,Eranthemum pulchellum
6027068,525,Justicia sp.,60475758-2,Acanthaceae,Justicia,,,True,Justicia micrantha
8611920,579,Barleria cristata,45927-1,Acanthaceae,Barleria,cristata,,True,Barleria cristata
6671509,553,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
9922202,541,Andrographis paniculata,45226-1,Acanthaceae,Andrographis,paniculata,,False,Andrographis paniculata
7006237,544,Asystasia dalzelliana,45732-1,Acanthaceae,Asystasia,dalzelliana,,False,Asystasia dalzelliana
3292188,552,Justicia macrantha,320656-2,Acanthaceae,Justicia,macrantha,,False,Justicia macrantha
3678131,522,Pseuderanthemum variabile,53355-1,Acanthaceae,Pseuderanthemum,variabile,,False,Pseuderanthemum variabile
3237828,522,Barleria albostellata,45842-1,Acanthaceae,Barleria,albostellata,,False,Barleria albostellata
4428564,524,Acanthopsis carduifolia,44830-1,Acanthaceae,Acanthopsis,carduifolia,,False,Acanthopsis carduifolia
3611037.0,552,Avicennia germinans,861125-1,Acanthaceae,Avicennia,germinans,,False,Avicennia germinans
3833593.0,552,Henrya insularis,320651-2,Acanthaceae,Henrya,insularis,,False,Henrya insularis
3921069.0,552,Acanthopsis spathularis,44837-1,Acanthaceae,Acanthopsis,spathularis,,False,Acanthopsis spathularis
5125695.0,552,Blepharis integrifolia,46538-1,Acanthaceae,Blepharis,integrifolia,,False,Blepharis integrifolia
4122700.0,552,Barleria oenotheroides,46114-1,Acanthaceae,Barleria,oenotheroides,,False,Barleria oenotheroides
6181525.0,575,Hygrophila auriculata,49646-1,Acanthaceae,Hygrophila,auriculata,,False,Hygrophila spinosa
6199692.0,522,Dicliptera paniculata,77079550-1,Acanthaceae,Dicliptera,paniculata,,False,Peristrophe bicalyculata
6764276.0,552,Neuracanthus niveus,52595-1,Acanthaceae,Neuracanthus,niveus,,False,Neuracanthus niveus
7524491.0,567,Nicoteba betonica,52612-1,Acanthaceae,Nicoteba,betonica,,False,Justicia betonica
9597390.0,561,Justicia striata,51668-1,Acanthaceae,Justicia,striata,,False,Justicia striata
15079366.0,553,Ruellia yurimaguensis,224330-2,Acanthaceae,Ruellia,yurimaguensis,,False,Ruellia yurimaguensis
15079674.0,553,Chamaeranthemum beyrichii,46892-1,Acanthaceae,Chamaeranthemum,beyrichii,,False,Chamaeranthemum beyrichii
3563002.0,552,Sclerochiton kirkii,54995-1,Acanthaceae,Sclerochiton,kirkii,,False,Sclerochiton kirkii
6583572.0,553,Meiosperma debile,77254330-1,Acanthaceae,Meiosperma,debile,,False,Justicia debilis
7571901.0,569,Barleria cristata,45927-1,Acanthaceae,Barleria,cristata,,True,Barleria cristata
3921056.0,552,Acanthopsis spathularis,44837-1,Acanthaceae,Acanthopsis,spathularis,,False,Acanthopsis spathularis
3833566.0,545,Ruellia pringlei,224254-2,Acanthaceae,Ruellia,pringlei,,False,Ruellia pringlei
6671542.0,539,Justicia odora,51237-1,Acanthaceae,Justicia,odora,,False,Justicia odora
3655550.0,552,Barleria elegans,77147132-1,Acanthaceae,Barleria,elegans,,False,Barleria elegans
4015148.0,552,Ruellia stemonacanthoides,54612-1,Acanthaceae,Ruellia,stemonacanthoides,,False,Ruellia stemonacanthoides
7204270.0,538,Ruellia tuberosa,54671-1,Acanthaceae,Ruellia,tuberosa,,False,Ruellia tuberosa
3833580.0,552,Dianthera candicans,1123723-2,Acanthaceae,Dianthera,candicans,,False,Justicia candicans
6188951.0,553,Justicia diclipteroides,50627-1,Acanthaceae,Justicia,diclipteroides,,False,Justicia diclipteroides
6732855.0,552,Isoglossa eylesii,915177-1,Acanthaceae,Isoglossa,eylesii,,False,Isoglossa eylesii
3833577.0,552,Justicia pacifica,51269-1,Acanthaceae,Justicia,pacifica,,False,Justicia caudata
3545015.0,552,Bravaisia berlandieriana,273458-2,Acanthaceae,Bravaisia,berlandieriana,,False,Bravaisia berlandieriana
7544468.0,523,Thunbergia grandiflora,117460-3,Acanthaceae,Thunbergia,grandiflora,,False,Thunbergia grandiflora
5927394.0,529,Barleria trispinosa,46256-1,Acanthaceae,Barleria,trispinosa,,False,Barleria trispinosa
6259291.0,524,Barleria volkensii,46275-1,Acanthaceae,Barleria,volkensii,,False,Barleria volkensii
3655580.0,552,Ruspolia hypocrateriformis,54830-1,Acanthaceae,Ruspolia,hypocrateriformis,,False,Ruspolia hypocrateriformis
9043097.0,553,Graptophyllum pictum,49186-1,Acanthaceae,Graptophyllum,pictum,,False,Graptophyllum pictum
7414403.0,565,Elytraria acaulis,90427-2,Acanthaceae,Elytraria,acaulis,,False,Elytraria acaulis
6258979.0,553,Crossandra massaica,47022-1,Acanthaceae,Crossandra,massaica,,False,Crossandra massaica
6180977.0,570,Haplanthodes tentaculata,49368-1,Acanthaceae,Haplanthodes,tentaculata,,False,Haplanthus tentaculatus
5347714.0,552,Dicliptera squarrosa,47698-1,Acanthaceae,Dicliptera,squarrosa,,False,Jacobinia suberecta
16719148.0,571,Phlogacanthus curviflorus,53055-1,Acanthaceae,Phlogacanthus,curviflorus,,False,Phlogacanthus curviflorus
3655654.0,552,Ecbolium glabratum,938348-1,Acanthaceae,Ecbolium,glabratum,,False,Ecbolium glabratum
3562901.0,552,Justicia campylostemon,50440-1,Acanthaceae,Justicia,campylostemon,,False,Justicia camylostemon
3806670.0,552,Barleria spinulosa subsp. kirkii,77147139-1,Acanthaceae,Barleria,spinulosa,kirkii,False,Barleria kirkii
4164023.0,552,Acanthus mollis,44892-1,Acanthaceae,Acanthus,mollis,,False,Acanthus mollis
3722563.0,552,Justicia brenesii,132809-2,Acanthaceae,Justicia,brenesii,,False,Justicia brenesii
5313733.0,552,Barleria macrostegia,46067-1,Acanthaceae,Barleria,macrostegia,,False,Barleria macrostegia
4247084.0,567,Hygrophila polysperma,49756-1,Acanthaceae,Hygrophila,polysperma,,False,Hygrophila polysperma
3833579.0,552,Dianthera candicans,1123723-2,Acanthaceae,Dianthera,candicans,,False,Justicia candicans
5520702.0,552,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
3498085.0,552,Thunbergia lancifolia,56337-1,Acanthaceae,Thunbergia,lancifolia,,False,Thunbergia lancifolia
6188949.0,553,Hypoestes forskaolii,941349-1,Acanthaceae,Hypoestes,forskaolii,,False,Hypoestes forskaolii
3997094.0,552,Aphelandra squarrosa,315544-2,Acanthaceae,Aphelandra,squarrosa,,False,Aphelandra squarrosa
6259018,535,Ruellia patula,54401-1,Acanthaceae,Ruellia,patula,,True,Ruellia patula
3655603,552,Dyschoriste hildebrandtii var. hildebrandtii,77229671-1,Acanthaceae,Dyschoriste,hildebrandtii,hildebrandtii,False,Dyschoriste rogersii
6259030,535,Ruellia patula,54401-1,Acanthaceae,Ruellia,patula,,True,Ruellia patula
6259294.0,525,Barleria volkensii,46275-1,Acanthaceae,Barleria,volkensii,,False,Barleria volkensii
6183252,561,Rhinacanthus nasutus,53554-1,Acanthaceae,Rhinacanthus,nasutus,,False,Rhinacanthus nasutus
3921061,552,Acanthopsis sp.,342-1,Acanthaceae,Acanthopsis,,,False,Acanthopsis sp. 2
3921054,552,Acanthopsis hoffmannseggiana,44833-1,Acanthaceae,Acanthopsis,hoffmannseggiana,,False,Acanthopsis hoffmannseggiana
3833591,552,Tetramerium nervosum,56148-1,Acanthaceae,Tetramerium,nervosum,,False,Tetramerium nervosum
6183253,564,Rostellularia diffusa,53712-1,Acanthaceae,Rostellularia,diffusa,,True,Justicia diffusa
3921052,552,Acanthopsis horrida,44834-1,Acanthaceae,Acanthopsis,horrida,,False,Acanthopsis horrida
3655683,552,Justicia flava,50729-1,Acanthaceae,Justicia,flava,,True,Justicia flava
5927398,533,Barleria delamerei,45937-1,Acanthaceae,Barleria,delamerei,,False,Barleria spinisepala
6199683,579,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis
6027046,531,Lepidagathis trinervis,52130-1,Acanthaceae,Lepidagathis,trinervis,,False,Lepidagathis trinervis
3734734,552,Rhinacanthus xerophilus,53571-1,Acanthaceae,Rhinacanthus,xerophilus,,False,Rhinacanthus cf. xerophilus
6027114.0,570,Hygrophila auriculata,49646-1,Acanthaceae,Hygrophila,auriculata,,False,Hygrophila auriculata
4099496.0,552,Odontonema tubaeforme,172486-2,Acanthaceae,Odontonema,tubaeforme,,False,Odontonema tubaeforme
6188955.0,553,Blepharis edulis,46503-1,Acanthaceae,Blepharis,edulis,,False,Blepharis edulis
3633523.0,552,Bravaisia berlandieriana,273458-2,Acanthaceae,Bravaisia,berlandieriana,,False,Bravaisia berlandieriana
6183250.0,564,Rhinacanthus nasutus,53554-1,Acanthaceae,Rhinacanthus,nasutus,,False,Rhinacanthus nasutus
10246768.0,528,Justicia cuneata,50578-1,Acanthaceae,Justicia,cuneata,,True,Justicia cuneata
7050775.0,552,Carlowrightia arizonica,46826-1,Acanthaceae,Carlowrightia,arizonica,,False,Carlowrightia arizonica
6188952.0,553,Justicia diclipteroides,50627-1,Acanthaceae,Justicia,diclipteroides,,False,Justicia diclipteroides
6798596.0,543,Graptophyllum excelsum,49177-1,Acanthaceae,Graptophyllum,excelsum,,False,Graptophyllum excelsum
3732626.0,552,Barleria obtusa,46112-1,Acanthaceae,Barleria,obtusa,,False,Barleria obtusa
6798631.0,546,Hypoestes floribunda,49895-1,Acanthaceae,Hypoestes,floribunda,,False,Hypoestes floribunda
5382368,552,Pseuderanthemum tunicatum,53353-1,Acanthaceae,Pseuderanthemum,tunicatum,,False,Pseuderanthemum tunicatum
3921049.0,552,Acanthopsis horrida,44834-1,Acanthaceae,Acanthopsis,horrida,,False,Acanthopsis horrida
