Locus,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
3682745.0,770,Hypoestes floribunda,49895-1,Acanthaceae,Hypoestes,floribunda,,False,Hypoestes floribunda
7036217,869,Avicennia officinalis,861138-1,Acanthaceae,Avicennia,officinalis,,False,Avicennia officinalis
15174045,759,Justicia sprucei,941066-1,Acanthaceae,Justicia,sprucei,,False,Justicia sprucei
3300199,766,Justicia macrantha,320656-2,Acanthaceae,Justicia,macrantha,,False,Justicia macrantha
6756287,670,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
16770758.0,772,Dicliptera tomentosa,47709-1,Acanthaceae,Dicliptera,tomentosa,,False,Dicliptera ruiziana
6188442.0,638,Thunbergia tsavoensis,77092208-1,Acanthaceae,Thunbergia,tsavoensis,,False,Thunbergia tsavoensis
4501909.0,823,Acanthopsis horrida,44834-1,Acanthaceae,Acanthopsis,horrida,,False,Acanthopsis horrida
3882809,740,Nelsonia canescens,52558-1,Acanthaceae,Nelsonia,canescens,,False,Nelsonia canescens
10248194.0,812,Barleria merxmuelleri,46078-1,Acanthaceae,Barleria,merxmuelleri,,False,Barleria merxmuelleri
8165704,739,Thunbergia tsavoensis,77092208-1,Acanthaceae,Thunbergia,tsavoensis,,False,Thunbergia tsavoensis
6797246.0,563,Hemigraphis sp.,326021-2,Acanthaceae,Hemigraphis,,,False,Hemigraphis sp. SINU 2007020270
6188567.0,623,Barleria eranthemoides,45961-1,Acanthaceae,Barleria,eranthemoides,,False,Barleria eranthemoides
15792035.0,861,Phlogacanthus colaniae,53053-1,Acanthaceae,Phlogacanthus,colaniae,,False,Phlogacanthus colaniae
15079915,831,Eranthemum pulchellum,48879-1,Acanthaceae,Eranthemum,pulchellum,,True,Eranthemum pulchellum
3426104.0,760,Anisotes longistrobus,77147174-1,Acanthaceae,Anisotes,longistrobus,,False,Metarungia longistrobus
6689017.0,719,Justicia calyculata,50432-1,Acanthaceae,Justicia,calyculata,,False,Justicia calyculata
5158968.0,780,Ruelliopsis setosa,54744-1,Acanthaceae,Ruelliopsis,setosa,,False,Ruelliopsis setosa
17776447.0,837,Dicliptera tomentosa,47709-1,Acanthaceae,Dicliptera,tomentosa,,False,Dicliptera tomentosa
7339013.0,840,Crossandra infundibuliformis,47014-1,Acanthaceae,Crossandra,infundibuliformis,,False,Crossandra infundibuliformis
6188546.0,638,Crossandra massaica,47022-1,Acanthaceae,Crossandra,massaica,,False,Crossandra massaica
3242448.0,732,Ruspolia hypocrateriformis,54830-1,Acanthaceae,Ruspolia,hypocrateriformis,,False,Ruspolia hypocrateriformis
3242161,765,Barleria albostellata,45842-1,Acanthaceae,Barleria,albostellata,,False,Barleria albostellata
4084588.0,771,Acanthopsis sp.,342-1,Acanthaceae,Acanthopsis,,,False,Acanthopsis sp. 3
6188459.0,545,Barleria volkensii,46275-1,Acanthaceae,Barleria,volkensii,,False,Barleria volkensii
3682751,737,Pseuderanthemum variabile,53355-1,Acanthaceae,Pseuderanthemum,variabile,,False,Pseuderanthemum variabile
3768496,771,Nicoteba betonica,52612-1,Acanthaceae,Nicoteba,betonica,,False,Justicia betonica
5667440.0,813,Mendoncia gilgiana,52312-1,Acanthaceae,Mendoncia,gilgiana,,False,Mendoncia gilgiana
4187119.0,771,Blepharis integrifolia,46538-1,Acanthaceae,Blepharis,integrifolia,,False,Blepharis integrifolia
4502056.0,817,Acanthopsis glauca,44832-1,Acanthaceae,Acanthopsis,glauca,,False,Acanthopsis glauca
4502267,504,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina
3863649,726,Justicia brenesii,132809-2,Acanthaceae,Justicia,brenesii,,False,Justicia brenesii
