Locus,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
6188742.0,516,Barleria trispinosa,46256-1,Acanthaceae,Barleria,trispinosa,,False,Barleria trispinosa
6188831.0,532,Ruellia prostrata,54453-1,Acanthaceae,Ruellia,prostrata,,True,Ruellia prostrata
6259881.0,445,Ruellia patula,54401-1,Acanthaceae,Ruellia,patula,,True,Ruellia patula
6757273.0,505,Barleria delamerei,45937-1,Acanthaceae,Barleria,delamerei,,False,Barleria spinisepala
9934128.0,547,Barleria eranthemoides,45961-1,Acanthaceae,Barleria,eranthemoides,,False,Barleria eranthemoides
15080642.0,363,Justicia scheidweileri,279154-2,Acanthaceae,Justicia,scheidweileri,,False,Justicia scheidweileri
6188841.0,386,Blepharis maderaspatensis,46553-1,Acanthaceae,Blepharis,maderaspatensis,,False,Blepharis maderaspatensis
10507198.0,354,Aphelandra squarrosa,315544-2,Acanthaceae,Aphelandra,squarrosa,,False,Aphelandra squarrosa
8099233.0,271,Crabbea velutina,46982-1,Acanthaceae,Crabbea,velutina,,False,Crabbea velutina
6757334.0,440,Dyschoriste radicans,48190-1,Acanthaceae,Dyschoriste,radicans,,False,Dyschoriste radicans
6757304.0,362,Barleria trispinosa,46256-1,Acanthaceae,Barleria,trispinosa,,False,Barleria trispinosa
6259841.0,506,Ruellia patula,54401-1,Acanthaceae,Ruellia,patula,,True,Ruellia patula
6259145.0,525,Thunbergia tsavoensis,77092208-1,Acanthaceae,Thunbergia,tsavoensis,,False,Thunbergia tsavoensis
6188840.0,386,Blepharis maderaspatensis,46553-1,Acanthaceae,Blepharis,maderaspatensis,,False,Blepharis maderaspatensis
6259207.0,384,Crossandra massaica,47022-1,Acanthaceae,Crossandra,massaica,,False,Crossandra massaica
8099266.0,274,Hypoestes forskaolii,941349-1,Acanthaceae,Hypoestes,forskaolii,,False,Hypoestes forskaolii
15057532.0,363,Justicia chrysostephana,77175719-1,Acanthaceae,Justicia,chrysostephana,,False,Jacobinia chrysostephana
15080565.0,358,Acanthus mollis,44892-1,Acanthaceae,Acanthus,mollis,,False,Acanthus mollis
10507197.0,354,Aphelandra squarrosa,315544-2,Acanthaceae,Aphelandra,squarrosa,,False,Aphelandra squarrosa
6757333.0,455,Dyschoriste radicans,48190-1,Acanthaceae,Dyschoriste,radicans,,False,Dyschoriste radicans
15057646,492,Dyschoriste linearis,48146-1,Acanthaceae,Dyschoriste,linearis,,False,Dyschoriste linearis
8155434.0,478,Barleria angustiloba,45846-1,Acanthaceae,Barleria,angustiloba,,False,Barleria angustiloba
6757391,347,Justicia odora,51237-1,Acanthaceae,Justicia,odora,,False,Justicia odora
6757387.0,533,Barleria gracilispina,77109564-1,Acanthaceae,Barleria,gracilispina,,False,Barleria gracilispina
6259191,384,Crossandra massaica,47022-1,Acanthaceae,Crossandra,massaica,,False,Crossandra massaica
9934123,352,Justicia calyculata,50432-1,Acanthaceae,Justicia,calyculata,,False,Justicia calyculata
6188829,532,Ruellia prostrata,54453-1,Acanthaceae,Ruellia,prostrata,,True,Ruellia prostrata
6188710,530,Barleria delamerei,45937-1,Acanthaceae,Barleria,delamerei,,False,Barleria spinisepala
15057507,359,Anisacanthus quadrifidus,13942-2,Acanthaceae,Anisacanthus,quadrifidus,,False,Anisacanthus quadrifidus
9934129,247,Justicia diclipteroides,50627-1,Acanthaceae,Justicia,diclipteroides,,False,Justicia diclipteroides
5895556.0,509,Avicennia germinans,861125-1,Acanthaceae,Avicennia,germinans,,False,Avicennia germinans
6688477.0,482,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina
15057645.0,513,Elytraria caroliniensis,90431-2,Acanthaceae,Elytraria,caroliniensis,,False,Elytraria caroliniensis
7088102.0,488,Barleria volkensii,46275-1,Acanthaceae,Barleria,volkensii,,False,Barleria volkensii
15057470.0,346,Yeatesia platystegia,946962-1,Acanthaceae,Yeatesia,platystegia,,False,Yeatesia platystegia
6259866.0,330,Justicia odora,51237-1,Acanthaceae,Justicia,odora,,False,Justicia odora
9597785.0,249,Justicia striata,51668-1,Acanthaceae,Justicia,striata,,False,Justicia striata
7088237,485,Barleria volkensii,46275-1,Acanthaceae,Barleria,volkensii,,False,Barleria volkensii
8155433,321,Hypoestes forskaolii,941349-1,Acanthaceae,Hypoestes,forskaolii,,False,Hypoestes forskaolii
6188753,371,Meiosperma debile,77254330-1,Acanthaceae,Meiosperma,debile,,False,Justicia debilis
9597787.0,250,Justicia striata,51668-1,Acanthaceae,Justicia,striata,,False,Justicia striata
5300575.0,603,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis
6188754.0,371,Meiosperma debile,77254330-1,Acanthaceae,Meiosperma,debile,,False,Justicia debilis
6688470.0,411,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina
6757385.0,519,Barleria gracilispina,77109564-1,Acanthaceae,Barleria,gracilispina,,False,Barleria gracilispina
6143977.0,554,Barleria strigosa,46236-1,Acanthaceae,Barleria,strigosa,,False,Barleria strigosa
6757363.0,500,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
6259118.0,412,Blepharis edulis,46503-1,Acanthaceae,Blepharis,edulis,,False,Blepharis edulis
6259077.0,536,Barleria submollis,46240-1,Acanthaceae,Barleria,submollis,,False,Barleria submollis
15080643.0,364,Aphelandra crispata,16163-2,Acanthaceae,Aphelandra,crispata,,False,Aphelandra crispata
15080662.0,356,Pachystachys lutea,52814-1,Acanthaceae,Pachystachys,lutea,,False,Pachystachys lutea
15080660,429,Eranthemum pulchellum,48879-1,Acanthaceae,Eranthemum,pulchellum,,True,Eranthemum pulchellum
6757362,447,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata
