Locus,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
6459836,216,Strobilanthes frondosa,978965-1,Acanthaceae,Strobilanthes,frondosa,,False,Strobilanthes frondosa
6402684.0,264,Ruellia hygrophila,54167-1,Acanthaceae,Ruellia,hygrophila,,False,Ruellia hygrophila
6415978.0,207,Ruellia oaxacana,224225-2,Acanthaceae,Ruellia,oaxacana,,False,Ruellia oaxacana
6387190.0,216,Suessenguthia multisetosa,1177498-2,Acanthaceae,Suessenguthia,multisetosa,,False,Suessenguthia multisetosa
6402678.0,209,Ruellia devosiana,53993-1,Acanthaceae,Ruellia,devosiana,,False,Ruellia devosiana
6397569.0,245,Strobilanthes wightii,77147697-1,Acanthaceae,Strobilanthes,wightii,,False,Stenosiphonium wightii
6443890.0,262,Ruellia patula,54401-1,Acanthaceae,Ruellia,patula,,True,Ruellia patula
6402689.0,230,Ruellia ciliatiflora,53920-1,Acanthaceae,Ruellia,ciliatiflora,,False,Ruellia nudiflora
6431441.0,206,Crossandra greenstockii,47010-1,Acanthaceae,Crossandra,greenstockii,,False,Crossandra greenstockii
6393666.0,267,Ruellia angustiflora,224039-2,Acanthaceae,Ruellia,angustiflora,,False,Ruellia angustiflora
6432738.0,176,Hemigraphis blumeana,49407-1,Acanthaceae,Hemigraphis,blumeana,,True,Hemigraphis blumeana
6397765.0,228,Ruellia matudae,224197-2,Acanthaceae,Ruellia,matudae,,False,Ruellia matudae
6454376.0,219,Ruellia terminalis,1014800-1,Acanthaceae,Ruellia,terminalis,,False,Ruellia terminalis
6431984.0,245,Ruellia incomta,224160-2,Acanthaceae,Ruellia,incomta,,False,Ruellia incompta
6432740.0,237,Strobilanthes pauciflora,77197937-1,Acanthaceae,Strobilanthes,pauciflora,,False,Hemigraphis hirsutissima
6397764.0,265,Ruellia hookeriana,54155-1,Acanthaceae,Ruellia,hookeriana,,False,Ruellia hookeriana
6393277.0,232,Physacanthus nematosiphon,53096-1,Acanthaceae,Physacanthus,nematosiphon,,False,Physacanthus nematosiphon
6411588.0,255,Ruellia inflata,54187-1,Acanthaceae,Ruellia,inflata,,False,Ruellia inflata
6415974.0,277,Ruellia alboviolacea,224034-2,Acanthaceae,Ruellia,alboviolacea,,False,Ruellia alboviolacea
6401752.0,245,Ruellia lactea,54211-1,Acanthaceae,Ruellia,lactea,,False,Ruellia lactea
6447763.0,242,Strobilanthes scabra,55939-1,Acanthaceae,Strobilanthes,scabra,,True,Strobilanthes asper
6396665.0,267,Mellera nyassana,52287-1,Acanthaceae,Mellera,nyassana,,False,Mellera nyassana
6446781.0,266,Ruellia patula,54401-1,Acanthaceae,Ruellia,patula,,True,Ruellia patula
6420320.0,240,Physacanthus nematosiphon,53096-1,Acanthaceae,Physacanthus,nematosiphon,,False,Physacanthus nematosiphon
6432734.0,237,Strobilanthes viridis,77197948-1,Acanthaceae,Strobilanthes,viridis,,False,Hemigraphis viridis
6400813.0,244,Strobilanthes chinensis,77073026-1,Acanthaceae,Strobilanthes,chinensis,,False,Sericocalyx chinensis
6447757.0,243,Strobilanthes calycina,55589-1,Acanthaceae,Strobilanthes,calycina,,False,Strobilanthes calycina
6453836.0,267,Ruellia biolleyi,53850-1,Acanthaceae,Ruellia,biolleyi,,False,Ruellia biolleyi
6455916.0,263,Ruellia angustiflora,224039-2,Acanthaceae,Ruellia,angustiflora,,False,Ruellia angustiflora
6402673.0,261,Ruellia brevifolia,947317-1,Acanthaceae,Ruellia,brevifolia,,False,Ruellia brevifolia
6453848.0,271,Ruellia tubiflora,54673-1,Acanthaceae,Ruellia,tubiflora,,True,Ruellia tubiflora
6461857.0,263,Ruellia morongii,298094-2,Acanthaceae,Ruellia,morongii,,False,Ruellia morongii
6440535.0,237,Strobilanthes linearifolia,77197947-1,Acanthaceae,Strobilanthes,linearifolia,,False,Hemigraphis ciliata
6432742.0,237,Strobilanthes linearifolia,77197947-1,Acanthaceae,Strobilanthes,linearifolia,,False,Hemigraphis ciliata
6409657.0,279,Ruellia longifilamentosa,224179-2,Acanthaceae,Ruellia,longifilamentosa,,False,Ruellia longifilamentosa
6433390.0,237,Hygrophila corymbosa,49671-1,Acanthaceae,Hygrophila,corymbosa,,False,Hygrophila corymbosa
6449693.0,245,Strobilanthes violifolia,56003-1,Acanthaceae,Strobilanthes,violifolia,,False,Clarkeasia parviflora
6437901.0,228,Ruellia mcvaughii,284444-2,Acanthaceae,Ruellia,mcvaughii,,False,Ruellia mcvaughii
6453842.0,241,Ruellia jussieuoides,54203-1,Acanthaceae,Ruellia,jussieuoides,,False,Ruellia jussieuoides
6443039.0,231,Louteridium donnell-smithii,52227-1,Acanthaceae,Louteridium,donnell-smithii,,False,Louteridium donnellsmithii
6383486.0,232,Strobilanthes urens,77147695-1,Acanthaceae,Strobilanthes,urens,,False,Hemigraphis urens
6402686.0,226,Ruellia longepetiolata,54242-1,Acanthaceae,Ruellia,longepetiolata,,False,Ruellia longepetiolata
6399751.0,231,Strobilanthes formosana,55691-1,Acanthaceae,Strobilanthes,formosana,,False,Strobilanthes formosana
6461858.0,268,Ruellia multifolia,224210-2,Acanthaceae,Ruellia,multifolia,,False,Ruellia multifolia
6392816.0,277,Ruellia eumorphantha,224113-2,Acanthaceae,Ruellia,eumorphantha,,False,Ruellia eumorphantha
6386337.0,259,Acanthopale laxiflora,44824-1,Acanthaceae,Acanthopale,laxiflora,,False,Acanthopale laxiflora
6432735.0,227,Strobilanthes reptans,77112369-1,Acanthaceae,Strobilanthes,reptans,,False,Hemigraphis reptans
