Locus,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name
NC_030275.1,genomic DNA,151069,Helianthus argophyllus,119047-2,Asteraceae,Helianthus,argophyllus,,False,Helianthus argophyllus
NC_035499.1,genomic DNA,164488,Zantedeschia aethiopica,89403-1,Araceae,Zantedeschia,aethiopica,,False,Zantedeschia aethiopica
NC_041421.1,genomic DNA,149739,Plantago ovata,685486-1,Plantaginaceae,Plantago,ovata,,True,Plantago ovata
NC_044169.1,genomic DNA,135728,Avena longiglumis,391554-1,Poaceae,Avena,longiglumis,,False,Avena longiglumis
NC_056278.1,genomic DNA,154870,Sophora koreensis,518866-1,Fabaceae,Sophora,koreensis,,False,Echinosophora koreensis
NC_036300.1,genomic DNA,155379,Emmenopterys henryi,748742-1,Rubiaceae,Emmenopterys,henryi,,False,Emmenopterys henryi
NC_036304.1,genomic DNA,151994,Iodes cirrhosa,607936-1,Icacinaceae,Iodes,cirrhosa,,False,Iodes cirrhosa
NC_049876.1,genomic DNA,160742,Quercus gilva,296186-1,Fagaceae,Quercus,gilva,,False,Quercus gilva
NC_050043.1,genomic DNA,155571,Fulcaldea stuessyi,77114273-1,Asteraceae,Fulcaldea,stuessyi,,False,Fulcaldea stuessyi
NC_050046.1,genomic DNA,152342,Cirsium japonicum,195527-1,Asteraceae,Cirsium,japonicum,,False,Cirsium japonicum
NC_060729.1,genomic DNA,159266,Patrinia rupestris,859463-1,Caprifoliaceae,Patrinia,rupestris,,False,Patrinia rupestris
NC_060581.1,genomic DNA,155523,Cymbidium banaense,624953-1,Orchidaceae,Cymbidium,banaense,,False,Cymbidium banaense
NC_071783.1,genomic DNA,143808,Chiloschista parishii,935346-1,Orchidaceae,Chiloschista,parishii,,False,Chiloschista parishii
NC_071786.1,genomic DNA,158228,Paris lancifolia,539711-1,Melanthiaceae,Paris,lancifolia,,False,Paris lancifolia
NC_071789.1,genomic DNA,146770,Angelica likiangensis,837676-1,Apiaceae,Angelica,likiangensis,,False,Angelica likiangensis
NC_071790.1,genomic DNA,146976,Angelica longicaudata,905659-1,Apiaceae,Angelica,longicaudata,,False,Angelica longicaudata
